Dấu thời gian,Bạn đánh dấu những khung giờ mà bản thân trong trạng thái ngủ nhé,Tuổi hiện tại của bạn (chỉ điền số giúp chúng mình nha)?,Bạn có hài lòng với khung giờ ngủ hiện tại không?,Sức khoẻ của bạn đang ở mức nào?
30/09/2021 19:39:59,"3h - 5h, 5h - 7h, 13h - 15h, 15h - 17h, 17h - 19h",17,Không,Tệ
30/09/2021 19:47:20,"3h - 5h, 5h - 7h, 13h - 15h",20,Không,Bình thường
30/09/2021 19:54:09,"23h - 1h, 11h - 13h",20,Có,Bình thường
30/09/2021 20:01:48,"1h - 3h, 3h - 5h, 5h - 7h, 13h - 15h",20,Có,Bình thường
30/09/2021 20:10:14,"23h - 1h, 1h - 3h, 21h - 23h",19,Không,Bình thường
30/09/2021 20:28:54,23h - 1h,21,Có,Bình thường
30/09/2021 20:42:20,"3h - 5h, 5h - 7h, 7h - 9h, 9h - 11h, 11h - 13h, 13h - 15h, 17h - 19h",20,Không,Bình thường
30/09/2021 20:46:17,"1h - 3h, 3h - 5h, 5h - 7h, 13h - 15h",16,Không,Bình thường
30/09/2021 21:18:35,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h",22,Có,Bình thường
30/09/2021 21:33:59,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 7h - 9h",18,Có,Bình thường
30/09/2021 21:43:05,"23h - 1h, 13h - 15h, 21h - 23h",40,Có,Bình thường
30/09/2021 21:53:17,23h - 1h,20,Có,Bình thường
30/09/2021 22:01:12,"1h - 3h, 3h - 5h, 5h - 7h, 13h - 15h",20,Có,Tốt
01/10/2021 0:06:49,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 11h - 13h, 13h - 15h, 21h - 23h",20,Có,Tốt
01/10/2021 1:27:00,"1h - 3h, 13h - 15h",21,Không,Bình thường
01/10/2021 6:11:03,"1h - 3h, 3h - 5h, 5h - 7h",20,Không,Tốt
01/10/2021 7:10:11,5h - 7h,21,Có,Tốt
01/10/2021 8:36:06,"23h - 1h, 1h - 3h, 3h - 5h, 5h - 7h, 13h - 15h",20,Có,Bình thường
